STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
01,001,020100,1,698,+32.464812,-086.486527
01,001,020100,2,1214,+32.482391,-086.486912
01,001,020200,1,1003,+32.478035,-086.474786
01,001,020200,2,1167,+32.466372,-086.471060
01,001,020300,1,2549,+32.476828,-086.460326
01,001,020300,2,824,+32.465297,-086.457514
01,001,020400,1,944,+32.478063,-086.447461
01,001,020400,2,1937,+32.470177,-086.440365
01,001,020400,3,935,+32.463380,-086.444121
01,001,020400,4,570,+32.456784,-086.442892
